Prompt,Hindi Translation,Code-Mixed (Hinglish),Intent,Context,Tags
How does chronic stress affect the menstrual cycle and what coping strategies can help?,क्रोनिक तनाव मासिक धर्म चक्र को कैसे प्रभावित करता है और क्या नकल की रणनीति मदद कर सकती है?,How does chronic stress affect the menstrual cycle and what coping strategies can help ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
What are common emotional symptoms of PMS and how can women cope with them?,पीएमएस के सामान्य भावनात्मक लक्षण क्या हैं और महिलाएं उनके साथ कैसे सामना कर सकती हैं?,What are common emotional symptoms of PMS and how can women cope with them ka kya solution hai?,mental_wellness,self-care,"coping, remedy, self-help"
What is PMDD and how does it differ from PMS in terms of symptoms and treatment?,पीएमडीडी क्या है और यह लक्षणों और उपचार के मामले में पीएमएस से कैसे भिन्न है?,What is PMDD and how does it differ from PMS in terms of symptoms and treatment ka kya solution hai?,diet_advice,general,general
How can teenage girls cope with anxiety and mood swings related to their menstrual cycle?,किशोर लड़कियां अपने मासिक धर्म से संबंधित चिंता और मूड झूलों का सामना कैसे कर सकती हैं?,How can teenage girls cope with anxiety and mood swings related to their menstrual cycle ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
"What lifestyle habits (diet, exercise, sleep) support menstrual health and improve mental well-being?","क्या जीवनशैली की आदतें (आहार, व्यायाम, नींद) मासिक धर्म स्वास्थ्य का समर्थन करती हैं और मानसिक कल्याण में सुधार करती हैं?","What lifestyle habits (diet, exercise, sleep) support menstrual health and improve mental well-being ka kya solution hai?",mental_wellness,self-care,"coping, remedy, self-help"
What coping mechanisms can help alleviate stress-related menstrual irregularities?,क्या मैथुन तंत्र तनाव से संबंधित मासिक धर्म की अनियमितताओं को कम करने में मदद कर सकता है?,What coping mechanisms can help alleviate stress-related menstrual irregularities ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
What self-care techniques can reduce menstrual cramps and improve mood?,क्या स्व-देखभाल तकनीक मासिक धर्म की ऐंठन को कम कर सकती है और मूड में सुधार कर सकती है?,What self-care techniques can reduce menstrual cramps and improve mood ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
"How does PCOS affect mental health, and what support strategies can women use?","पीसीओएस मानसिक स्वास्थ्य को कैसे प्रभावित करता है, और महिलाएं क्या समर्थन रणनीतियों का उपयोग कर सकती हैं?","How does PCOS affect mental health, and what support strategies can women use ka kya solution hai?",mental_wellness,PCOS awareness,"PCOS, hormones"
What mental health resources are helpful for women with severe PMS or menstrual mood disorders?,गंभीर पीएमएस या मासिक धर्म के मूड विकारों वाली महिलाओं के लिए कौन से मानसिक स्वास्थ्य संसाधन सहायक हैं?,What mental health resources are helpful for women with severe PMS or menstrual mood disorders ka kya solution hai?,mental_wellness,general,general
How can menstrual health education improve mental wellness in adolescent girls?,मासिक धर्म स्वास्थ्य शिक्षा किशोर लड़कियों में मानसिक कल्याण में कैसे सुधार कर सकती है?,How can menstrual health education improve mental wellness in adolescent girls ka kya solution hai?,mental_wellness,general,general
What are the symptoms of PMS?,पीएमएस के लक्षण क्या हैं?,What are the symptoms of PMS ka kya solution hai?,mental_wellness,general,general
Why do I have cramps during my period?,मुझे अपनी अवधि के दौरान ऐंठन क्यों है?,Why do I have cramps during my period ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Is breast tenderness normal before periods?,क्या पीरियड्स से पहले स्तन कोमलता सामान्य है?,Is breast tenderness normal before periods ka kya solution hai?,symptom_query,general,general
Why does my lower back hurt during menstruation?,मासिक धर्म के दौरान मेरी पीठ के निचले हिस्से में चोट क्यों लगती है?,Why does my lower back hurt during menstruation ka kya solution hai?,mental_wellness,general,general
What causes bloating before a period?,एक अवधि से पहले सूजन का क्या कारण है?,What causes bloating before a period ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Is spotting between periods a concern?,क्या पीरियड्स के बीच स्पॉटिंग एक चिंता का विषय है?,Is spotting between periods a concern ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Why do I feel nauseous during my cycle?,मैं अपने चक्र के दौरान क्यों मिचली महसूस करता हूं?,Why do I feel nauseous during my cycle ka kya solution hai?,mental_wellness,general,general
What is considered a heavy period?,एक भारी अवधि क्या माना जाता है?,What is considered a heavy period ka kya solution hai?,mental_wellness,general,general
Can periods cause headaches?,क्या अवधि सिरदर्द का कारण बन सकती है?,Can periods cause headaches ka kya solution hai?,symptom_query,general,general
Why do I have acne before my period?,मेरी अवधि से पहले मेरे पास मुँहासे क्यों हैं?,Why do I have acne before my period ka kya solution hai?,mental_wellness,general,general
What should I eat during my period?,मुझे अपनी अवधि के दौरान क्या खाना चाहिए?,What should I eat during my period ka kya solution hai?,diet_advice,general,general
Are bananas good for cramps?,क्या केले ऐंठन के लिए अच्छे हैं?,Are bananas good for cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Should I avoid caffeine during periods?,क्या मुझे अवधि के दौरान कैफीन से बचना चाहिए?,Should I avoid caffeine during periods ka kya solution hai?,mental_wellness,general,general
Can chocolate help during PMS?,क्या चॉकलेट पीएमएस के दौरान मदद कर सकता है?,Can chocolate help during PMS ka kya solution hai?,mental_wellness,general,general
What drinks reduce bloating in periods?,क्या पेय पीरियड्स में सूजन को कम करते हैं?,What drinks reduce bloating in periods ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Are dairy products safe to eat during menstruation?,क्या मासिक धर्म के दौरान डेयरी उत्पाद खाने के लिए सुरक्षित हैं?,Are dairy products safe to eat during menstruation ka kya solution hai?,diet_advice,general,general
What fruits are helpful during periods?,अवधि के दौरान कौन से फल सहायक होते हैं?,What fruits are helpful during periods ka kya solution hai?,mental_wellness,general,general
Is spicy food bad during menstruation?,क्या मासिक धर्म के दौरान मसालेदार भोजन खराब है?,Is spicy food bad during menstruation ka kya solution hai?,diet_advice,general,general
Can drinking water help with cramps?,क्या पीने का पानी ऐंठन के साथ मदद कर सकता है?,Can drinking water help with cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
What is a good diet plan for PMS?,पीएमएस के लिए एक अच्छी आहार योजना क्या है?,What is a good diet plan for PMS ka kya solution hai?,diet_advice,self-care,"coping, remedy, self-help"
Why do I feel emotional before my period?,मैं अपनी अवधि से पहले भावुक क्यों महसूस करता हूं?,Why do I feel emotional before my period ka kya solution hai?,mental_wellness,general,general
How can I manage period mood swings?,मैं पीरियड मिजाज का प्रबंधन कैसे कर सकता हूं?,How can I manage period mood swings ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
Is anxiety before periods normal?,अवधि सामान्य से पहले चिंता है?,Is anxiety before periods normal ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
What can help with period-related depression?,अवधि से संबंधित अवसाद के साथ क्या मदद कर सकता है?,What can help with period-related depression ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
Does stress delay periods?,क्या तनाव में देरी होती है?,Does stress delay periods ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
Can meditation help during menstruation?,क्या मासिक धर्म के दौरान ध्यान मदद कर सकता है?,Can meditation help during menstruation ka kya solution hai?,mental_wellness,general,general
Why do I feel overwhelmed before periods?,मैं अवधि से पहले अभिभूत क्यों महसूस करता हूं?,Why do I feel overwhelmed before periods ka kya solution hai?,mental_wellness,general,general
Can periods affect mental clarity?,क्या अवधि मानसिक स्पष्टता को प्रभावित कर सकती है?,Can periods affect mental clarity ka kya solution hai?,mental_wellness,general,general
